Town,EstPop
Andover,3236
Ansonia,18654
Ashford,4255
Avon,18276
Barkhamsted,3606
Beacon Falls,6222
Berlin,20436
Bethany,5548
Bethel,19800
Bethlehem,3402
Bloomfield,21211
Bolton,4884
Bozrah,2726
Branford,27900
Bridgeport,144399
Bridgewater,1635
Bristol,59947
Brookfield,16973
Brooklyn,8272
Burlington,9704
Canaan,1053
Canterbury,5079
Canton,10254
Chaplin,2239
Cheshire,28937
Chester,4213
Clinton,12925
Colchester,15809
Colebrook,1400
Columbia,5379
Cornwall,1362
Coventry,12407
Cromwell,13839
Danbury,84694
Darien,21728
Deep River,4443
Derby,12339
Durham,7165
Eastford,1790
East Granby,5140
East Haddam,8997
East Hampton,12800
East Hartford,49872
East Haven,28569
East Lyme,18462
Easton,7521
East Windsor,11668
Ellington,16467
Enfield,43659
Essex,6668
Fairfield,62045
Farmington,25497
Franklin,1920
Glastonbury,34482
Goshen,2863
Granby,11507
Greenwich,62840
Griswold,11534
Groton,38436
Guilford,22133
Haddam,8193
Hamden,60556
Hampton,1842
Hartford,122105
Hartland,2120
Harwinton,5420
Hebron,9504
Kent,2777
Killingly,17336
Killingworth,6364
Lebanon,7144
Ledyard,14621
Lisbon,4220
Litchfield,8094
Lyme,2316
Madison,18030
Manchester,57584
Mansfield,25487
Marlborough,6335
Meriden,59395
Middlebury,7798
Middlefield,4374
Middletown,46258
Milford,54747
Monroe,19434
Montville,18508
Morris,2254
Naugatuck,31108
New Britain,72495
New Canaan,20233
New Fairfield,13878
New Hartford,6656
New Haven,130250
Newington,30014
New London,26858
New Milford,26805
Newtown,27891
Norfolk,1630
North Branford,14146
North Canaan,3251
North Haven,23683
North Stonington,5196
Norwalk,88816
Norwich,38768
Old Lyme,7306
Old Saybrook,10061
Orange,13926
Oxford,13255
Plainfield,15125
Plainville,17534
Plymouth,11598
Pomfret,4203
Portland,9267
Preston,4625
Prospect,9702
Putnam,9389
Redding,9116
Ridgefield,24959
Rocky Hill,20115
Roxbury,2152
Salem,4083
Salisbury,3600
Scotland,1672
Seymour,16437
Sharon,2689
Shelton,41129
Sherman,3630
Simsbury,25395
Somers,10784
Southbury,19571
Southington,43834
South Windsor,26162
Sprague,2859
Stafford,11893
Stamford,129638
Sterling,3782
Stonington,18559
Stratford,51849
Suffield,15814
Thomaston,7535
Thompson,9379
Tolland,14618
Torrington,34044
Trumbull,35673
Union,839
Vernon,29359
Voluntown,2510
Wallingford,44326
Warren,1395
Washington,3428
Waterbury,107568
Waterford,18746
Watertown,21578
Westbrook,6869
West Hartford,62965
West Haven,54620
Weston,10252
Westport,28491
Wethersfield,26008
Willington,5864
Wilton,18343
Winchester,10604
Windham,24561
Windsor,28733
Windsor Locks,12854
Wolcott,16587
Woodbridge,8750
Woodbury,9502
Woodstock,7858
